"","MIRC1","MIRC2","MIRC3","MIRC4","MIRC5","MIRC6","MIRC7","MIRC8","MIRC9","MIRC10","MIRC11","MIRC12","MIRC13","MIRC14","MIRC15","MIRC16","MIRC17","MIRC18","MIRC19","MIRC20","MIRC21"
"1",5.4537669435607,4.38382759519676,3.21698340002395,3.42822437006129,7.3085188161238,5.50913715005805,5.51589432474059,3.37181923237569,6.03691286736549,2.87609957367967,8.06405722110659,3.38846994101365,3.93195974168804,6.40113824809523,6.57182684401635,3.78507338254861,5.20120672188077,2.57582390471969,3.97732759468293,5.50102704433645,4.7569624853006
"2",4.32198812123696,3.98658259287273,3.82988502599882,4.50273869601704,1.68550916744268,5.20640513686423,6.44523658635072,3.46532299935295,6.61893292294825,2.85147081785612,7.73035862571579,2.73889028325359,3.5678815832717,4.36090194709043,6.08255673450854,3.34398536330238,6.30304107303047,3.14000392528648,4.19998992346937,5.22425381042698,4.42951071600428
"3",4.08911559185928,4.17859005053246,3.39378873398784,3.58279946267224,8.10320652058008,4.99711177371644,5.35925058092021,3.68148353692998,6.37339274074042,2.85188987467611,8.93464418503957,2.89268936984135,3.13265935820371,6.55555948932337,6.55917720042261,3.46951089056822,5.37333203406601,4.42494885987133,3.13847910102469,5.68200738416049,4.40325251676243
"4",4.88469159565657,4.06114033850559,3.47511116434347,4.01708275360583,8.00583695536019,5.49107335774011,5.01436425810258,4.30097708731457,6.01703982765847,2.83469870048473,8.64621547516175,3.16319914905021,3.53104361331115,6.90813432703938,6.62475450383556,3.83324664285522,5.49555725278608,4.95463009313486,4.54241534460591,5.46992407288867,4.69317116602807
"5",4.05397604728996,4.22420753344488,3.80161636722705,3.32925346532238,9.20889746478591,5.51892388210384,5.5343288542463,2.39184186807533,6.18370673728846,3.02938680346342,7.35114627182214,2.87387364104765,3.30589907202528,6.91756635352157,6.13803040462439,3.25040367709665,5.50223626517874,4.57271357939372,2.67787935214185,5.57700660009051,4.29013973938643
"6",4.91533391005007,4.12593990229108,3.40836984410354,4.59557198938728,8.14294127646276,5.80522379223193,4.91292635857884,3.19386178104111,6.35626763128565,3.47812679412056,6.89509982943703,3.39218926674164,3.63101172494644,5.73854659045794,5.91796605517435,3.84227742376782,5.37567507878445,5.80777878836521,3.53630714229613,5.5691607544113,4.65196152371857
"7",4.95366087862676,5.67079239821093,5.86323164857552,5.00363696632321,6.89774050411566,5.59872352375014,5.13344011904084,3.61682967737587,6.31868873867661,3.30500577498758,7.24190596612716,3.89937931664443,4.44052540754326,4.31157377970364,6.05366545780817,4.42611998912643,7.11789499052526,4.60021666067695,3.20376990188508,6.03471504872012,5.29622101358429
"8",4.93709264951107,4.07978510400423,3.19630974375784,3.82762805290954,0.969245804467133,5.6988836049077,6.15118832082541,3.67589671687963,6.20980558200406,2.97597578003363,7.44110174288971,3.44076954921886,3.73126113368765,6.98530789460939,5.21497310624178,3.60344437054396,5.23179741490207,3.0129145153763,2.85481772808091,5.45345343527408,4.90476885599758
"9",5.3018522741706,4.74294242664537,3.90075694587391,3.9948006679034,8.12866588792086,5.71467441276425,5.24356907628454,4.27227221727208,6.51695859970486,3.58729923441734,7.9173501733045,3.93077240224661,4.52643231321866,6.76498769955988,7.36967403534407,4.50239006114952,6.24354991429639,5.59358959166518,3.72724816745557,5.80150491300865,5.1190298066919
"10",4.78015477532628,6.05434300051056,5.89915768750776,4.63567180672351,1.79183622601356,5.31739488941796,4.56628342301013,2.91824826518505,5.49503878985868,4.36381378790566,8.16402307050239,3.48186513344625,5.00025812441606,6.94384880129648,5.66109537511562,5.33447091342327,6.52273499969993,4.65855315024082,5.016849333538,5.99141333552022,5.34436017938241
"11",4.6187107069602,4.1155878559369,3.52661319249014,3.86735232681732,6.1737514238458,5.35561938132962,5.6771162020786,3.21873167571701,6.17384038367006,2.51715889984958,8.01796880503381,3.22292077408388,3.50887476208911,6.39482254927495,6.73704220671406,3.53779295948454,5.90437010781138,3.27295702213939,3.40739968133916,5.74277458457108,4.48397297024747
"12",2.82304069645667,4.65990396140824,3.6903795161274,3.43090005625939,4.41219426602035,5.26911324481841,5.99964296825498,2.93216666913804,5.31563506317209,2.84523694446942,7.97546532319658,3.37830676494713,3.57162897826738,6.02219898840713,7.01926633810828,3.70776835595951,5.79875331823422,3.87993660526218,2.61354282075266,5.84131635276119,4.4894012129837
"13",4.43635565928812,3.97969284394884,3.61933090884687,4.07259960657363,8.93278450703705,5.62339302227846,5.31467231859445,3.56978292983824,6.39360070411561,3.27296647182637,7.64534465858042,2.94261894632034,3.60117506768895,5.71145568333119,5.58535282034986,3.86254926076634,5.0760477398255,5.23906852434818,3.47427743354156,5.48437582847861,4.71079287608675
"14",4.54731656850883,4.54291192084055,3.60258136370051,3.62948373137943,2.67604136769077,5.20652057410929,6.108612005273,3.01240896018474,6.42907429446091,2.72789309762396,7.00313551135765,3.17929503896256,3.53365313248403,5.91274819470103,6.74564489020025,3.60453082989693,6.1238830412181,3.56906576806258,3.64477761237666,5.92921204514411,4.43235652250707
"15",5.27317971496324,4.07357507959954,3.3686300977592,3.30783027828236,8.77888179125422,4.94424627903504,5.4177050476197,2.96812710834401,6.39956827728967,2.66795176373784,9.15726444409974,2.97915128388969,3.58689763970658,6.74676147078887,6.33486584975821,3.84228258043789,5.76748773093757,4.57663683960688,2.90957725504124,5.73632899407614,4.51194558255239
"16",3.25924125904023,4.48863611274439,3.63230944413803,3.73480216526182,5.86893121246361,5.26704902139001,5.94863997871704,2.76854909869044,5.80118438419952,2.45772384920424,6.68845252922922,2.83867125490902,2.89710788370021,5.67129564019626,6.61769831122768,3.34183536643764,6.13926894254157,3.05608276858946,2.61048453057167,5.41389662538359,4.31211912044658
